Name,NT,Full Time Phd,FRU,Annual_Expenditure_per_Student,Operational_Expenditure_per_Student,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
Indian Institute of Space Science and Technology,894,160,22.73,308039.6138519924,842897.1897533207,110154544.0,123369644.0,91149565.0,324994229.0,298249115.0,265170294.0
Indian Institute of Technology Mandi,1894,258,20.67,547368.8671003717,574830.7351301116,189603837.0,523073098.0,465260867.0,490646262.0,375719174.0,370670306.0
Motilal Nehru National Institute of Technology,4761,420,14.63,56347.722447403976,515485.1466898282,117223964.0,94301579.0,80412007.0,912403107.0,896493371.0,861832067.0
Indian Institute of Technology Jodhpur,1310,289,21.95,300484.06378986867,497155.9749843652,262876588.0,78594819.0,139002611.0,344127389.0,225093764.0,225731251.0
National Institute of Technology Kurukshetra,4472,223,15.72,272667.68285410013,599060.6956336529,101116509.0,1005265805.0,173792457.0,1005365820.0,980817022.0,826407124.0
Sri Sivasubramaniya Nadar College of Engineering,3816,261,11.53,16628.300956585725,502594.21265636495,24379312.0,22303236.0,21111035.0,797318248.0,635888677.0,615869680.0
Birla Institute of Technology,3772,236,12.23,118030.06961077845,506005.0107285429,150699947.0,124842416.0,197522156.0,701367066.0,714046218.0,612654799.0
National Institute of Technology Silchar,3327,495,12.26,83245.10701203559,477834.1755625327,155532909.0,101313871.0,61316019.0,662770128.0,623997545.0,539514546.0
Dr. B. R. Ambedkar National Institute of Technology,4136,339,11.17,42346.82458100559,361004.22033519554,76928220.0,50965860.0,61607960.0,623718982.0,528366203.0,463408701.0
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),14492,176,7.4,32239.591559858196,202927.7054813199,120081927.0,180452766.0,172355636.0,1045585927.0,1072780539.0,858177118.0
Manipal Institute of Technology,8542,124,9.96,29064.63870297715,322193.2295176552,115929721.0,75011727.0,60932711.0,977400923.0,949593392.0,865132212.0
"College of Engineering, Pune",3168,61,12.99,49819.8593991948,440235.6265097553,81465253.0,23597818.0,55805255.0,503882682.0,473854065.0,443784091.0
PSG College of Technology,6417,147,9.87,78747.41011578306,242363.19317489336,103964000.0,129843000.0,283091000.0,546010000.0,533062000.0,511800000.0
International Institute of Information Technology Hyderabad,1791,117,13.58,106675.73532494759,494219.7919287212,66001639.0,41714403.0,95821261.0,344716509.0,338841144.0,259413710.0
Sathyabama Institute of Science and Technology,11730,295,8.44,105949.55234927234,272906.3272349272,470753256.0,442946611.0,360343500.0,1161054385.0,1120596200.0,1000048000.0
