Name,Total Research,Total Consultancy,FPPP,S
St. Josephs College of Engineering,8314446,2481258,0.04,0.0124389795
Lakshmi Narain College of Technology,1800000,2825420,0.02,0.00841355
Centurion  University  of Technology and Management,90647080,144098130,0.73,0.428230635
Rabindranath Tagore University,2130000,5761250,0.1,0.016000625
National Institute of Technology Uttarakhand,12163595,1985490,0.29,0.01408642125
JSS Science and Technology University,13601554,18600100,0.16,0.0567014155
Easwari Engineering College,49990081,7411906,0.3,0.05602232575
International Institute of Information Technology Bhubaneswar,2938861,32722009,0.53,0.08400916825
National Engineering College,3817052,3753550,0.06,0.012246664
Sona College of Technology,36749724,36775343,0.34,0.1195006505
C M R Institute of Technology,29289389,3869619,0.19,0.03164108925
G.L.Bajaj Institute of Technology and Management,9591442,31326800,0.21,0.0855105815
DIT University,14179424,3203570,0.11,0.018643493
The National Institute of Engineering,15603860,32295141,0.29,0.0924407475
K. J. Somaiya College of Engineering,16006586,3358382,0.15,0.0204008945
Kakatiya Institute of Technology & Science,16507767,17709884,0.19,0.05665553525
Walchand College of Engineering,7804310,33677293,0.36,0.090046465
Sri Venkateswara University,92389000,21571417,0.92,0.1232202925
