Name,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
"Government Engineering College, Thrissur",10.0,28.95,12.15,9.59,1.85,1.58,0.0,0.45,23.93,15.0,10.3,1.06,0.33,26.29,5.33,20.0,2.87
"Jain University, Bangalore",12.45,20.16,9.63,6.73,5.83,9.94,2.0,0.76,14.83,12.31,11.17,6.56,14.68,18.67,0.97,20.0,0.74
Maulana Abul Kalam Azad University of Technology,3.55,20.36,11.59,11.29,8.77,9.52,0.0,0.42,29.7,10.84,9.61,2.32,3.39,19.28,0.0,20.0,2.87
Institute of Aeronautical Engineering,11.98,22.56,9.99,5.64,3.43,3.51,7.0,0.58,26.03,14.2,9.65,0.0,2.31,24.52,2.56,20.0,2.87
National Institute of Technology Arunachal Pradesh,4.33,25.98,16.46,12.83,3.8,3.93,1.0,1.21,17.67,9.87,13.56,0.7,9.87,14.49,9.14,18.0,2.17
Indira Gandhi Delhi Technical University for Women,7.57,17.03,10.16,8.34,4.15,4.11,0.0,0.56,33.74,15.0,16.14,0.47,5.5,30.0,0.99,18.0,4.23
Sant Longowal Institute of Engineering & Technology,10.14,23.99,11.95,12.32,6.89,9.24,0.0,0.19,8.99,9.44,9.48,1.68,17.66,16.67,2.71,20.0,4.9
"Silicon Institute of Technology (SIT), Bhubaneswar",8.54,26.19,14.37,6.39,0.86,1.64,0.5,0.08,29.17,15.0,10.33,0.0,11.65,24.63,2.89,20.0,0.74
Kongu Engineering College,12.46,25.15,13.07,6.94,3.06,4.76,0.0,0.18,24.34,12.49,9.15,0.32,0.18,22.69,1.09,20.0,10.45
Goka Raju Ranga Raju Institute of Engineering & Technology,13.5,24.87,11.06,6.45,2.59,2.92,0.0,0.21,28.14,14.34,10.15,0.0,0.97,25.15,3.32,20.0,4.23
