Name,NT,Full Time Phd,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
"National Institute of Technology, Jamshedpur",3218,180,53403270.0,28731405.0,12439248.0,596172024.0,581518926.0,675501635.0
Indian Institute of Information Technology Allahabad,1794,207,35639000.0,32897000.0,204436000.0,217899509.0,201633483.0,263271569.0
Netaji Subhas University of Technology (NSUT),4505,204,45871422.0,46584966.0,39552018.0,470868670.0,354616000.0,339327000.0
Panjab University,4510,185,81982663.0,60207436.0,4202531.0,364171629.0,337311795.0,292450783.0
Kumaraguru College of Technology,5568,20,72188930.0,124829436.0,84795030.0,379055860.0,381377759.0,376579784.0
University of Petroleum and Energy Studies,7245,23,97182845.0,65815684.0,27391954.0,1124828339.0,919047505.0,844586632.0
National Institute of Technology Agartala,3980,134,171803053.0,28146000.0,23772000.0,354718000.0,318115000.0,379897000.0
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,9468,33,54389425.0,16447589.0,80569101.0,498126429.0,464164069.0,430610565.0
Jaypee Institute of Information Technology,5550,151,68853387.0,69674655.0,30045451.0,595770768.0,517519724.0,461611540.0
College of Engineering Trivandrum,3351,89,29788377.0,41301983.0,37358235.0,575710311.0,533257358.0,599372246.0
Bharati Vidyapeeth Deemed University College of Engineering,3438,158,31964000.0,31126241.0,22774000.0,245451000.0,215476564.0,201270000.0
The Northcap University,1762,46,16732257.0,20495813.0,30834531.0,262700298.0,245336688.0,296762923.0
B.M.S. College of Engineering,5712,73,83221571.0,50177351.0,42206236.0,732517422.0,676949893.0,616462183.0
National Institute of Technology Hamirpur,3559,192,45430889.0,26561397.0,30730246.0,404628744.0,303953257.0,396693559.0
"C.V. Raman Global University, Odisha",4913,12,52148395.0,40240291.0,56045585.0,258949034.0,251800225.0,233504234.0
Siddaganga Institute of Technology,3930,35,19090950.0,18367494.0,23981479.0,363264571.0,373623352.0,354822519.0
Coimbatore Institute of Technology,3182,62,20274478.0,20611000.0,21748000.0,403208321.0,366455000.0,357202000.0
Shoolini University of Biotechnology and Management Sciences,1025,65,6472000.0,6011000.0,11206000.0,53209000.0,48837000.0,38802000.0
Tezpur University,1657,139,10410945.0,11993863.0,13772409.0,153991896.0,192236589.0,116170110.0
Karunya Institute of Technology and Sciences,6538,57,39688089.0,48922510.0,92610028.0,443809669.0,469479285.0,423546282.0
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,908,44,24925943.0,28674262.0,18110466.0,173761122.0,157315269.0,148779848.0
Dhirubhai Ambani Institute of Information and Communication Technology,1804,50,7564611.0,30110953.0,16893344.0,166439148.0,158617574.0,129773766.0
Guru Gobind Singh Indraprastha University,1058,33,14311631.0,7340259.0,7335391.0,94935031.0,110964209.0,83574187.0
Sri Sairam Engineering College,5112,36,25915415.0,22132030.0,15594889.0,338141960.0,331836662.0,345890922.0
Rajalakshmi Engineering College,7260,61,65939063.0,58084899.0,46104630.0,510297095.0,446350215.0,370520591.0
"Vignan's Foundation for Science, Technology and Research",7686,144,40191819.0,40680692.0,102409320.0,361488439.0,384153876.0,355210184.0
B. S. Abdur Rahman Crescent Institute of Science and Technology,3972,30,38398357.0,98295445.0,90461717.0,453936427.0,384676951.0,372757737.0
Chitkara University,5523,99,35743315.0,17821127.0,7259299.0,564451700.0,347268630.0,256598222.0
National Institute of Technology Manipur,870,100,70070844.0,56569366.0,14812528.0,202205996.0,131128290.0,88096951.0
National Institute of Foundry and Forge Technology (NIFFT),731,13,24674217.0,14588847.0,13756308.0,146059959.0,118279197.0,126738356.0
Veer Surendra Sai University of Technology,4860,392,203000000.0,103530537.0,73172153.0,765000000.0,567000000.0,513000000.0
Maharaja Sayajirao University of Baroda,3830,191,25133972.0,25152000.0,28330377.0,368765698.0,362728127.0,331307000.0
Manav Rachna International Institute of Research & Studies,2487,44,16827281.0,12878704.0,29851525.0,264540515.0,259628742.0,238784819.0
Shri Ramdeobaba College of Engineering and Management,3492,6,51430957.0,14177909.0,19994132.0,423773582.0,374304380.0,368389261.0
Punjab Technical University,1258,0,32902221.0,29213329.0,57442102.0,823893183.0,441737252.0,392537445.0
Saveetha Institute of Medical and Technical Sciences,5340,43,78912406.0,100829460.0,74663428.0,298773228.0,261928361.0,193857320.0
Vishwakarma Institute of Technology,4267,62,95332770.0,84057818.0,50878938.0,402549092.0,408102318.0,401163018.0
University College of Engingeering,2372,23,20886491.0,188418547.0,9480378.0,246469329.0,257190295.0,203605153.0
Mepco Schlenk Engineering College,4174,34,18694000.0,24013000.0,10754000.0,274580000.0,273539000.0,266850000.0
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",2408,19,24375450.0,63289895.0,56442949.0,98850228.0,97927655.0,103644000.0
Dayalbagh Educational Institute,1286,145,46275757.0,58732000.0,18359575.0,82424662.0,75090000.0,89463176.0
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),2286,32,55803003.0,27564969.0,11750266.0,316246178.0,303085177.0,222992699.0
Government College of Technology,3236,47,12790377.0,1363342.0,18186357.0,262886669.0,198729216.0,197378848.0
Jaypee University of Information Technology,2271,87,26711732.0,15466797.0,23994244.0,337750188.0,297366993.0,257381668.0
G. H. Raisoni College of Engineering,3972,0,46997995.0,70659391.0,83194288.0,310614151.0,266386481.0,314603797.0
PSG Institute of Technology and Applied Research,1200,0,11573824.0,10519306.0,14684925.0,96305954.0,77219001.0,68701530.0
University College of Engineering,1918,276,47092251.0,36868677.0,13697285.0,487171427.0,483632506.0,282607175.0
Chaitanya Bharathi Institute of Technology,4492,0,9910916.0,63234723.0,47621565.0,512398075.0,574142419.0,532394522.0
SR University,3132,0,57934109.0,48218568.0,8758911.0,261736764.0,237526555.0,148350499.0
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,5028,10,35005329.0,22366505.0,50289792.0,461069043.0,458403860.0,401786075.0
The Rashtrasant Tukadoji Maharaj Nagpur University,720,27,3757610.0,2535988.0,4761521.0,89059000.0,69126000.0,60442000.0
Sri Krishna College of Technology,4056,4,66509223.0,51461163.0,43974108.0,321173506.0,246225333.0,216263553.0
NMAM Institute of Technology,4156,8,49346941.0,33758447.0,28026156.0,332087659.0,305491449.0,277656004.0
P E S College of Engineering,2984,2,29016047.0,47498011.0,10202319.0,290561828.0,271263878.0,273342121.0
Army Institute of Technology,1296,0,26433916.0,25590208.0,25349000.0,175197732.0,144899448.0,143600000.0
New Horizon College of Engineering,4770,5,23609197.0,31124017.0,37943719.0,386362261.0,378715286.0,352895860.0
Vardhaman College of Engineering,3816,2,11168649.0,10013330.0,7981834.0,250520118.0,239748170.0,214377007.0
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,1032,55,3685982.0,11899021.0,11147785.0,144040432.0,134002972.0,123232991.0
Pondicherry Engineering College,2882,188,6997147.0,2770783.0,40084278.0,487856034.0,419950761.0,406688660.0
